Month,Mobile_phone_users_per_100_inhabitants
Mar'20,116.1
Feb'20,116.4
Jan_'20,116.4
Dec_'19,116.3
Nov_'19,115.5
Oct_'19,115.3
Sep_'19,115.1
Aug_'19,115.0
Jul_'19,114.9
Jun_'19,114.5
May_'19,114.4
Apr_'19,114.0
Mar_'19,113.7
Feb_'19,113.7
Jan_'19,113.8
Dec_'18,114.4
Nov_'18,114.5
Oct_'18,114.4
Sep_'18,114.2
Aug_'18,113.9
Jul_'18,113.3
Jun_'18,112.7
Apr_'18,112.5
Mar_'18,112.3
Feb_'18,112.0
Jan_'18,111.7
Dec_'17,111.8
Nov_'17,111.6
Oct_'17,111.6
Sep_'17,111.5
Aug_'17,111.2
Jul_'17,111.0
Jun_'17,110.7
May_'17,110.2
Apr_'17,109.9
Mar_'17,109.9
Feb_'17,109.9
Jan_'17,110.2
Dec_'16,110.1
Nov_'16,110.3
Oct_'16,110.6
Sep_'16,110.4
Aug_'16,110.2
Jul_'16,110.1
Jun_'16,109.6
May_'16,109.4
Apr_'16,109.2
Mar_'16,109.1
Feb_'16,109.0
Jan_'16,109.2
Sep_'15,109.2
Ago_'15,109.1
Jul_'15,108.9
Jun_'15,108.5
Mai_'15,108.4
Apr_'15,108.4
Mar_'15,108.3
Febr_'15,108.6
Jan_'15,108.8
