Quarter,Number_of_unemployed_people_in_thousands
Q3_'20,3722.9
Q2'_20,3368.0
Q1'_20,3319.0
Q4'_19,3191.9
Q3'_19,3214.4
Q2'_19,3230.6
Q1'_19,3354.2
Q4'_18,3304.3
Q3_'18,3326.0
Q2_'18,3490.1
Q1_'18,3796.1
Q4_'17,3766.7
Q3_'17,3731.7
Q2_'17,3914.3
Q1_'17,4255.0
Q4_'16,4255.0
Q3_'16,4237.8
Q2_'16,4320.8
Q1_'16,4574.7
Q4_'15,4791.4
Q3_'15,4779.5
Q2_'15,4850.8
Q2_'15,5149.0
Q1_'15,5444.6
Q4_'14,5457.7
Q3_'14,5427.7
Q2_'14,5622.9
Q1_'14,5933.3
Q4_'13,5935.6
Q3_'13,5943.4
Q2_'13,6047.3
Q1_'13,6278.2
Q4_'12,6021.0
Q3_'12,5824.2
Q2_'12,5731.0
Q1_'12,5667.9
Q4_'11,5287.3
Q3_'11,4998.0
Q2_'11,4844.2
Q1_'11,4921.2
Q4_'10,4702.2
Q3_'10,4585.4
Q2_'10,4655.3
Q1_'10,4617.7
Q4_'09,4335.0
Q3_'09,4121.4
Q2_'09,4139.6
Q1_'09,4018.2
Q4_'08,3206.8
Q3_'08,2600.7
Q2_'08,2385.7
Q1_'08,2190.5
Q4_'07,1942.0
Q3_'07,1806.2
Q2_'07,1773.2
Q1_'07,1863.2
Q4_'06,1819.4
Q3_'06,1766.9
Q2_'06,1834.4
Q1_'06,1942.8
Q4_'05,1860.3
Q3_'05,1783.5
Q2_'05,1969.1
Q1_'05,2121.3
