Industry,Employment_change_in_thousands
Wired_telecommunications_carriers,-127.2
Postal_Service,-126.5
Wholesale_trade,-98.5
All_other_retail,-88.7
Printing_and_related_support_activities,-84.5
Newspaper_periodical_book_and_directory_publishers,-76.8
Private_households,-75.6
General_Merchandise_stores,-69.9
Textile_mills_and_textile_product_mills,-40.3
Apparel_leather_and_allied_product_manufacturing,-40.1
Semiconductor_and_other_electronic_component_manufacturing,-39.0
Aerospace_product_and_parts_manufacturing,-36.7
Navigational_measuring_electromedical_and_control_instruments_manufacturing,-35.1
Food_and_beverage_stores,-29.9
Drycleaning_and_laundry_services,-24.5
State_government_enterprises,-24.2
Communications_equipment_manufacturing,-23.5
Travel_arrangement_and_reservation_services,-23.1
Plastics_product_manufacturing,-22.6
Converted_paper_product_manufacturing,-22.6
