University,Number_of_degrees_awarded_to_today's_billionaires
Harvard_University,1830
Stanford_University,775
University_of_Pennsylvania,744
Columbia_University,516
New_York_University,456
Northwestern_University,365
Yale_University,358
Massachusetts_Institute_of_Technology,351
The_University_of_Texas_at_Austin,332
University_of_Chicago,326
University_of_Southern_California,319
University_of_Notre_Dame,316
Princeton_University,309
Cornell_University,299
University_of_California_Berkeley,295
University_of_Michigan,281
University_of_California_Los_Angeles,277
University_of_Virginia,251
University_of_Miami,248
Boston_University,203
