Year_and_candidate,Democrat,Republican,Progressive
2020:_Joe_Biden,55,0,0
2016:_Hillary_Clinton,55,0,0
2012:_Barack_Obama,55,0,0
2008:_Barack_Obama,55,0,0
2004:_John_Kerry,55,0,0
2000:_Al_Gore,54,0,0
1996:_Bill_Clinton,54,0,0
1992:_Bill_Clinton,54,0,0
1988:_George_H._W._Bush,0,47,0
1984:_Ronald_Reagan,0,47,0
1980:_Ronald_Reagan,0,45,0
1976:_Gerald_R._Ford,0,45,0
1972:_Richard_Nixon,0,45,0
1968:_Richard_Nixon,0,40,0
1964:_Lyndon_B._Johnson,40,0,0
1960:_Richard_Nixon,0,32,0
1956:_Dwight_D._Eisenhower,0,32,0
1952:_Dwight_D._Eisenhower,0,32,0
1948:_Harry_S._Truman,25,0,0
1944:_Franklin_D._Roosevelt,25,0,0
1940:_Franklin_D._Roosevelt,22,0,0
1936:_Franklin_D._Roosevelt,22,0,0
1932:_Franklin_D._Roosevelt,22,0,0
1928:_Herbert_Hoover,0,13,0
1924:_Calvin_Coolidge,0,13,0
1920:_Warren_G._Harding,0,13,0
1916:_Woodrow_Wilson,13,0,0
1912:_Theodore_Roosevelt,2,0,11
1908:_William_Howard_Taft,0,10,0
1904:_Theodore_Roosevelt,0,10,0
1900:_William_McKinley,0,9,0
1896:_William_McKinley,1,8,0
1892:_Grover_Cleveland,8,1,0
1888:_Bnjamin_Harrison,0,8,0
1884:_James_G._Blaine,0,8,0
1880:_Winfield_Hancock,5,1,0
1876:_Rutherford_B._Hayes,0,6,0
1872:_Ulysses_S._Grant,0,6,0
1868:_Ulysses_S._Grant,0,5,0
1864:_Abraham_Lincoln,0,5,0
1860:_Abraham_Lincoln,0,4,0
1856:_James_Buchanan,4,0,0
1852:_Franklin_Pierce,4,0,0
