State,Total_number_of_perpetrators
California,58362
New_York,54550
Texas,49563
Michigan,30705
Florida,27844
Illinois,22275
Massachusetts,20750
Ohio,20567
Indiana,20159
Kentucky,17400
Arizona,15395
South_Carolina,14350
Oklahoma,12929
Colorado,10253
Oregon,9486
Tennessee,9116
Alabama,8791
Georgia,8629
Iowa,8529
Mississippi,8252
Louisiana,7983
Utah,7784
Arkansas,7424
New_Mexico,6832
Maryland,6507
Connecticut,6292
West_Virginia,6252
Minnesota,5617
Missouri,5108
Virginia,5074
Pennsylvania,4865
New_Jersey,4589
Nevada,4168
Wisconsin,4031
Washington,3881
North_Carolina,3409
Puerto_Rico,3347
Maine,3021
Rhode_Island,2846
Montana,2704
Kansas,2594
Alaska,2032
Nebraska,1909
Idaho,1774
North_Dakota,1558
New_Hampshire,1154
District_of_Columbia,1136
Hawaii,1098
Delaware,976
South_Dakota,933
Vermont,782
Wyoming,780
