association_football_club,Soccer_Power_Index
Bayern_Munich,94.0
Manchester_City,92.0
Paris_Saint-Germain,90.6
Barcelona,89.6
Liverpool,88.8
Real_Madrid,88.6
Atletico_Madrid,86.6
RB_Leipzig,86.2
Borussia_Dortmund,85.6
Internazionale,83.9
Chelsea,83.7
Manchester_United,82.0
Napoli,81.9
Sevilla_FC,81.6
Juventus,81.5
RB_Salzburg,81.1
AC_Milan,80.7
Tottenham_Hotspur,80.6
Real_Sociedad,80.6
Atalanta,79.0
Arsenal,78.9
Bayer_Leverkusen,78.8
Leicester_City,78.7
Zenit_St._Petersburg,78.6
Borussia_Mönchengladbach,77.4
Everton,76.8
Benfica,76.4
Lyon,76.3
Villarreal,76.1
FC_Porto,75.8
Wolverhampton_Wanderers,75.8
Getafe,75.5
AS_Roma,75.3
Olympiacos,75.2
Shakhtar_Donetsk,75.1
Ajax,74.5
West_Ham,74.1
Aston_Villa,73.9
Eintracht_Frankfurt,73.4
Lille,73.1
Hoffenheim,73.1
Southampton,73.0
Granada,72.2
VfL_Wolfsburg,72.2
Real_Betis,71.6
Brighton,71.5
Celta_Vigo,71.0
Flamengo,70.5
Lazio,70.5
Club_Brugge,70.0
Athletic_Bilbao,69.8
