Month,Number_of_switches_in_thousands
Sep_'20,62.51
Aug_'20,44.17
Jul_'20,29.9
Jun_'20,27.97
May_'20,28.68
Apr_'20,41.55
Mar_'20,113.04
Feb_'20,96.12
Jan_'20,71.36
Dec_'19,72.51
Nov_'19,90.09
Oct_'19,99.51
Sep_'19,78.94
Aug_'19,66.95
Jul_'19,81.86
Jun_'19,83.46
May_'19,84.91
Apr_'19,78.61
Mar_'19,92.99
Feb_'19,100.35
Jan_'19,71.85
Dec_'18,61.89
Nov_'18,88.5
Oct_'18,85.52
Sep_'18,62.1
Aug_'18,62.29
Jul_'18,69.24
Jun_'18,79.52
May_'18,77.98
Apr_'18,68.84
Mar_'18,102.27
Feb_'18,102.99
Jan_'18,68.21
Dec_'17,64.45
Nov_'17,110.77
Oct_'17,72.47
Sep_'17,60.3
Aug_'17,73.48
Jul_'17,84.04
Jun_'17,77.09
May_'17,72.9
Apr_'17,68.16
Mar_'17,95.99
Feb_'17,90.4
Jan_'17,61.91
Dec_'16,60.06
Nov_'16,77.98
Oct_'16,70.35
Sep_'16,71.16
Aug_'16,77.61
Jul_'16,85.59
Jun_'16,84.59
May_'16,79.23
Apr_'16,94.18
Mar_'16,124.62
Feb_'16,110.34
Jan_'16,74.72
