Year,Men,Women
Rio_2016,43.03,49.44
London_2012,43.94,49.55
Beijing_2008,43.75,49.62
Athens_2004,44.0,49.41
Sydney_2000,43.84,49.11
Atlanta_1996,43.49,48.25
Barcelona_1992,43.5,48.83
Seoul_1988,43.87,48.65
Los_Angeles_1984,44.27,48.83
Moscow_1980,44.6,48.88
Montreal_1976,44.26,49.29
Munich_1972,44.66,51.08
Mexico_City_1968,43.8,52
Tokyo_1964,45.1,52
Rome_1960,44.9,0
Melbourne_1956,46.7,0
Helsinki_1952,45.9,0
London_1948,46.2,0
Berlin_1936,46.5,0
Los_Angeles_1932,46.2,0
Amsterdam_1928,47.8,0
Paris_1924,47.6,0
Antwerp_1920,49.6,0
Stockholm_1912,48.2,0
London_1908,50.0,0
St._Louis_1904,49.2,0
Paris_1900,49.4,0
Athens_1896,54.2,0
