Month,Confirmed,Deaths,Recovered
Dec_20,766,7,627
Dec_19,763,7,625
Dec_18,759,7,619
Dec_17,757,7,616
Dec_16,749,7,612
Dec_15,742,7,611
Dec_14,740,7,606
Dec_13,736,7,606
Dec_12,733,7,601
Dec_11,725,7,595
Dec_10,724,7,590
Dec_9,720,7,585
Dec_8,718,7,582
Dec_7,716,7,574
Dec_6,716,7,574
Dec_5,694,7,0
Dec_4,690,7,572
Dec_3,686,7,572
Dec_2,685,7,570
Dec_1,675,7,565
Nov_30,675,7,565
Nov_29,651,7,565
Nov_28,648,7,565
Nov_27,639,7,555
Nov_26,625,7,555
Nov_25,623,7,553
Nov_24,618,7,549
Nov_23,618,7,549
Nov_22,617,7,548
Nov_21,611,7,546
Nov_20,611,7,546
Nov_19,609,7,545
Nov_18,607,7,541
Nov_17,605,7,539
Nov_16,603,7,0
Nov_15,602,7,536
Nov_14,600,7,535
Nov_13,597,7,0
Nov_12,589,7,532
Nov_11,584,7,532
Nov_10,580,7,528
Nov_9,578,7,526
Nov_8,577,7,524
Nov_7,573,7,0
Nov_6,573,7,523
Nov_5,569,7,523
Nov_4,568,7,521
Nov_3,567,7,521
Nov_2,563,7,519
Nov_1,558,7,518
Oct_31,555,7,515
Oct_30,554,7,514
Oct_29,553,7,0
Oct_28,550,7,508
Oct_27,550,7,502
Oct_26,550,7,502
Oct_25,550,7,502
Oct_24,550,7,502
Oct_23,548,7,497
Oct_22,548,7,497
Oct_21,544,7,495
Oct_20,544,7,495
Oct_19,540,7,493
Oct_18,535,7,491
Oct_17,535,7,491
Oct_16,535,7,491
Oct_15,531,7,491
Oct_14,530,7,491
Oct_13,530,7,489
Oct_12,529,7,489
Oct_11,527,7,488
Oct_10,527,7,488
Oct_9,527,7,488
Oct_8,524,7,487
Oct_7,523,7,486
Oct_6,521,7,485
Oct_5,518,7,485
Oct_4,517,7,484
Oct_3,517,7,484
Oct_2,517,7,484
Oct_1,515,7,484
Sep_30,514,7,0
Sep_29,513,7,482
Sep_28,513,7,482
Sep_27,510,7,480
Sep_26,510,7,480
Sep_25,510,7,480
Sep_24,509,7,480
Sep_23,509,7,480
Sep_22,509,7,479
Sep_21,509,7,479
Sep_20,507,7,479
Sep_19,506,7,479
Sep_18,503,7,0
Sep_17,503,7,0
Sep_16,500,7,0
Sep_15,499,7,476
Sep_14,499,7,476
Sep_13,498,7,475
Sep_12,498,7,475
Sep_11,498,7,475
Sep_10,496,7,475
Sep_9,495,7,475
