Year_and_candidate,Democrat,Republican,Democratic-Republican,Whig,Uncast_ballot
2020:_Donald_Trump,0,18,0,0,0
2016:_Donald_Trump,0,18,0,0,0
2012:_Barack_Obama,18,0,0,0,0
2008:_Barack_Obama,20,0,0,0,0
2004:_George_W._Bush,0,20,0,0,0
2000:_George_W._Bush,0,21,0,0,0
1996:_Bill_Clinton,21,0,0,0,0
1992:_Bill_Clinton,21,0,0,0,0
1988:_George_H._W._Bush,0,24,0,0,0
1984:_Ronald_Reagan,0,24,0,0,0
1980:_Ronald_Reagan,0,25,0,0,0
1976:_Jimmy_Carter,25,0,0,0,0
1972:_Richard_Nixon,0,25,0,0,0
1968:_Richard_Nixon,0,26,0,0,0
1964:_Lyndon_B._Johnson,26,0,0,0,0
1960:_Richard_Nixon,0,25,0,0,0
1956:_Dwight_D._Eisenhower,0,25,0,0,0
1952:_Dwight_D._Eisenhower,0,25,0,0,0
1948:_Harry_S._Truman,25,0,0,0,0
1944:_Thomas_E._Dewey,0,25,0,0,0
1940:_Franklin_D._Roosevelt,26,0,0,0,0
1936:_Franklin_D._Roosevelt,26,0,0,0,0
1932:_Franklin_D._Roosevelt,26,0,0,0,0
1928:_Herbert_Hoover,0,24,0,0,0
1924:_Calvin_Coolidge,0,24,0,0,0
1920:_Warren_G._Harding,0,24,0,0,0
1916:_Woodrow_Wilson,24,0,0,0,0
1912:_Woodrow_Wilson,24,0,0,0,0
1908:_William_Howard_Taft,0,23,0,0,0
1904:_Theodore_Roosevelt,0,23,0,0,0
1900:_William_McKinley,0,23,0,0,0
1896:_William_McKinley,0,23,0,0,0
1892:_Benjamin_Harrison_(22)_Grover_Cleveland_(1),1,22,0,0,0
1888:_Benjamin_Harrison,0,23,0,0,0
1884:_James_G._Blaine,0,23,0,0,0
1880:_James_A._Garfield,0,22,0,0,0
1876:_Rutherford_B._Hayes,0,22,0,0,0
1872:_Ulysses_S._Grant,0,22,0,0,0
1868:_Ulysses_S._Grant,0,21,0,0,0
1864:_Abraham_Lincoln,0,21,0,0,0
1860:_Abraham_Lincoln,0,23,0,0,0
1856:_John_C._Frémont,0,23,0,0,0
1852:_Franklin_Pierce,23,0,0,0,0
1848:_Lewis_Cass,23,0,0,0,0
1844:_Henry_Clay,0,0,0,23,0
1840:_William_Henry_Harrison,0,0,0,21,0
1836:_William_Henry_Harrison,0,0,0,21,0
1832:_Andrew_Jackson,21,0,0,0,0
1828:_Andrew_Jackson,16,0,0,0,0
1824:_Henry_Clay,0,0,16,0,0
1820:_James_Monroe,0,0,8,0,0
1816:_James_Monroe,0,0,8,0,0
1812:_James_Madison,0,0,7,0,1
1808:_James_Madison,0,0,3,0,0
1804:_Thomas_Jefferson,0,0,3,0,0
