Year,Men,Women
Rio_2016,9.81,10.71
London_2012,9.63,10.75
Beijing_2008,9.69,10.78
Athens_2004,9.85,10.93
Sydney_2000,9.87,0
Atlanta_1996,9.84,10.94
Barcelona_1992,9.96,10.82
Seoul_1988_,9.92,10.54
Los_Angeles_1984,9.99,10.97
Moscow_1980,10.25,11.06
Montreal_1976,10.06,11.08
Munich_1972,10.14,11.07
Mexico_City_1968,9.95,11
Tokyo_1964,10.0,11.4
Rome_1960,10.2,11
Melbourne_1956,10.5,11.5
Helsinki_1952,10.4,11.5
London_1948,10.3,11.9
Berlin_1936,10.3,11.5
Los_Angeles_1932,10.3,11.9
Amsterdam_1928,10.8,12.2
Paris_1924,10.6,0
Antwerp_1920,10.8,0
Stockholm_1912,10.8,0
London_1908,10.8,0
St._Louis_1904,11.0,0
Paris_1900,11.0,0
Athens_1896,12.0,0
