Industry,Real_GDP_per_hour_worked_in_chained_2012_Canadian_dollars
Mining_and_oil_and_gas_extraction,281.3
Non-profit_institutions,187.9
Utilities,184.6
Real_estate_rental_and_leasing,134.5
Information_and_cultural_industries,101.4
Finance_and_insurance_and_holding_companies,72.6
Wholesale_trade,64.6
Manufacturing,63.7
All_industries,60.0
Agriculture_forestry_fishing_and_hunting,55.2
Government_sector,53.2
Professional_scientific_and_technical_services,51.5
Construction,50.0
Transportation_and_warehousing,49.9
Health_care_and_social_assistance,45.6
Administrative_and_support_waste_management_and_remediation_services,33.8
Retail_trade,32.2
Arts_entertainment_and_recreation,28.3
Other_private_services,23.6
Accommodation_and_food_services,22.9
Educational_services,22.0
