Month,Number_of_persons_tested_daily
Mar_6,305
Mar_7,87
Mar_8,104
Mar_9,94
Mar_10,-42
Mar_11,165
Mar_12,140
Mar_13,153
Mar_14,185
Mar_15,245
Mar_16,159
Mar_17,318
Mar_18,225
Mar_19,302
Mar_20,267
Mar_21,540
Mar_22,242
Mar_23,451
Mar_24,476
Mar_25,185
Mar_26,972
Mar_27,838
Mar_28,720
Mar_29,401
Mar_30,688
Mar_31,887
Apr_1,1181
Apr_2,1454
Apr_3,1889
Apr_4,1524
Apr_5,1036
Apr_6,1448
Apr_7,2042
Apr_8,1690
Apr_9,2301
Apr_10,2174
Apr_11,1580
Apr_12,1427
Apr_13,1199
Apr_14,1439
Apr_15,2967
Apr_16,3351
Apr_17,3144
Apr_18,3323
Apr_19,2458
Apr_20,2694
Apr_21,3221
Apr_22,4772
Apr_23,3840
Apr_24,4828
Apr_25,4839
Apr_26,3171
Apr_27,1767
Apr_28,5472
Apr_29,4584
Apr_30,5150
May_1,3698
May_2,1450
May_3,1584
May_4,2060
May_5,4742
May_6,5161
May_7,4694
May_8,3910
May_9,1488
May_10,786
May_11,2063
May_12,4326
May_13,4876
May_14,3992
May_15,4084
May_16,2476
May_17,971
May_18,2041
May_19,3371
May_20,2933
May_21,2751
May_22,2236
May_23,1649
May_24,645
May_25,1464
May_26,2839
May_27,2352
May_28,1848
May_29,3433
May_30,1606
May_31,274
Jun_1,6418
Jun_2,2336
Jun_3,2135
Jun_4,1832
Jun_5,2639
Jun_6,1180
Jun_7,160
Jun_8,851
Jun_9,1545
Jun_10,1500
Jun_11,1262
Jun_12,1511
Jun_13,479
Jun_14,47
Jun_15,847
Jun_16,1163
Jun_17,787
Jun_18,806
Jun_19,1278
Jun_20,301
Jun_21,41
Jun_22,661
Jun_23,1257
Jun_24,936
Jun_25,1515
Jun_28,62
Jun_29,784
Jun_30,2063
Jul_2,1801
Jul_5,50
Jul_9,2172
Jul_12,279
Jul_19,24
Jul_24,2275
Jul_25,767
Jul_26,216
Aug_1,585
Aug_2,766
Aug_5,2667
Aug_6,2473
Aug_7,3099
Aug_8,1068
Aug_9,564
Aug_11,3131
Aug_12,2741
Aug_13,2738
Aug_22,3356
Aug_28,4453
Aug_29,1951
Aug_30,588
Sep_4,5947
Sep_5,2462
Sep_6,922
Sep_10,4266
Sep_15,3235
Sep_20,1952
Sep_25,6483
Sep_30,9170
Oct_1,7824
Oct_5,3750
Oct_10,8959
Oct_11,3998
Oct_16,11904
Oct_17,10858
Oct_18,5025
Oct_19,5946
Oct_29,16556
Oct_30,18074
Oct_31,21949
Nov_01,21477
Nov_02,18994
Nov_03,13377
Nov_04,12864
Nov_05,11615
Nov_06,15767
Nov_07,15466
Nov_08,4956
Nov_09,6813
Nov_10,12891
Nov_11,12584
Nov_13,10742
Nov_15,1771
Nov_16,7837
Nov_17,5833
Nov_18,7913
Nov_19,9836
