Football_player,Goals_scored
Miroslav_Klose_(Germany),16
Ronaldo_(Brazil),15
Gerd_Müller_(Germany),14
Just_Fontaine_(France),13
Pelé_(Brazil),12
Jürgen_Klinsmann_(Germany),11
Sandor_Kocsis_(Hungary),11
Gabriel_Batistuta_(Argentina),10
Teofilo_Cubillas_(Peru),10
Grzegorz_Lato_(Poland),10
Gary_Lineker_(England),10
Thomas_Mueller_(Germany),10
Helmut_Rahn_(Germany),10
Ademir_(Brazil),9
Roberto_Baggio_(Italy),9
Eusébio_(Portugal),9
Jairzinho_(Brazil),9
Paolo_Rossi_(Italy),9
Karl-Heinz_Rummenigge_(Germany),9
Uwe_Seeler_(Germany),9
Vavá_(Brazil),9
Christian_Vieri_(Italy),9
David_Villa_(Spain),9
