Month,Index_number_of_sales_per_week
Jul_20,127.3
Jun_20,110.1
May_20,78.9
Apr_20,77.6
Mar_20,129.5
Feb_20,126.7
Jan_20,116.7
Dec_19,128.6
Nov_19,139.3
Oct_19,132.0
Sep_19,137.2
Aug_19,141.1
Jul_19,141.3
Jun_19,143.7
Msy_19,141.6
Apr_19,137.5
Mar_19,138.1
Feb_19,145.7
Jan_19,142.9
Dec_18,128.7
Nov_18,135.2
Oct_18,135.8
Sep_18,129.7
Aug_18,129.0
Jul_18,126.4
Jun_18,124.3
May_18,123.7
Apr_18,119.2
Mar_18,119.0
Feb_18,116.8
Jan_18,114.2
Dec_17,113.6
Nov_17,112.4
Oct_17,108.8
Sep_17,109.3
Aug_17,104.5
Jul_17,104.9
Jun_17,105.8
May_17,104.7
Apr_17,111.2
Mar_17,112.0
Feb_17,106.8
Jan_17,105.0
Dec_16,101.9
Nov_16,102.2
Oct_16,103.3
Sep_16,100.2
Aug_16,105.5
Jul_16,103.9
Jun_16,98.4
May_16,98.5
Apr_16,98.3
Mar_16,95.9
Feb_16,96.0
Jan_16,96.9
