Month,Unemployment_rate
Sep_'20,9.1
Aug_'20,10.6
Jul_'20,11.8
Jun_'20,13.2
May_'20,10.5
Apr_'20,7.7
Mar_'20,3.9
Feb_'20,3.9
Jan_'20,3.8
Dec_'19,3.7
Nov_'19,3.5
Oct_'19,3.7
Sep_'19,4.1
Aug_'19,4.1
Jul_'19,4.4
Jun_'19,4.1
May_'19,4.1
Apr_'19,3.5
Mar_'19,3.6
Feb_'19,3.9
Jan_'19,4.2
Dec_'18,4.2
Nov_'18,4
Oct_'18,3.8
Sep_'18,3.6
Aug_'18,3.5
Jul_'18,3.4
Jun_'18,3.5
May_'18,3.6
Apr_'18,3.8
Mar_'18,3.8
Feb_'18,3.6
Jan_'18,3.5
Dec_'17,3.5
Nov_'17,3.8
Oct_'17,3.8
Sep_'17,3.8
Aug_'17,3.7
Jul_'17,3.7
Jun_'17,4
May_'17,4.2
Apr_'17,4.4
Mar_'17,4.3
Feb_'17,4.1
Jan_'17,3.9
Dec_'16,3.8
Nov_'16,3.7
Oct_'16,4.1
Sep_'16,4.1
Aug_'16,4.3
Jul_'16,4
Jun_'16,4
May_'16,3.9
Apr_'16,3.8
Mar_'16,3.7
Feb_'16,3.8
Jan_'16,4
