Response,Share_of_responses
Washing_hands_more_often/for_longer,78
Social_distancing_(e.g._no_handshakes_keeping_a_distance),69
Avoiding_non_essential_social_contact,68
Avoiding_visits_to_pubs_cafes_and_restaurants_when_possible,66
Using_hand_sanatizing_gel/using_it_more_often,58
Avoiding_public_transport_when_possible,57
Avoiding_visits_to_elderly_and_vulnerable_relatives_and_friends_when_possible,53
Self-isolating_at_home,43
Working_from_home/working_from_home_more_often,28
Wearing_a_mask,12
None_of_the_above,3
Don’t_know,1
