United_States_Presidents,"Heart_attack,_failure_or_cardiovascular_disease",Stroke,Gunshot_wound,Pneumonia/respiratory_illness,Cancer,Other,Still_Living,Average
Jimmy_Carter,0,0,0,0,0,0,96.13,0
George_H._W._Bush,0,0,0,0,0,94.47,0,0
Gerald_Ford,93.45,0,0,0,0,0,0,0
Ronald_Reagan,0,0,0,93.33,0,0,0,0
John_Adams,90.68,0,0,0,0,0,0,0
Herbert_Hoover,0,0,0,0,90.19,0,0,0
Harry_S._Truman,0,0,0,0,0,88.63,0,0
James_Madison,85.28,0,0,0,0,0,0,0
Thomas_Jefferson,0,0,0,0,0,83.22,0,0
Richard_Nixon,0,81.28,0,0,0,0,0,0
John_Quincy_Adams,0,80.62,0,0,0,0,0,0
Martin_Van_Buren,0,0,0,79.63,0,0,0,0
Dwight_D._Eisenhower,78.45,0,0,0,0,0,0,0
Andrew_Jackson,78.23,0,0,0,0,0,0,0
Joe_Biden,0,0,0,0,0,0,78,0
James_Buchanan,0,0,0,77.11,0,0,0,0
Donald_Trump,0,0,0,0,0,0,74.42,0
George_W._Bush,0,0,0,0,0,0,74.36,0
Bill_Clinton,0,0,0,0,0,0,74.24,0
Millard_Fillmore,0,74.16,0,0,0,0,0,0
James_Monroe,0,0,0,0,0,73.18,0,0
William_Howard_Taft,72.47,0,0,0,0,0,0,0
AVERAGE,0,0,0,0,0,0,0,72.07
John_Tyler,0,71.81,0,0,0,0,0,0
Grover_Cleveland,71.26,0,0,0,0,0,0,0
Rutherford_B._Hayes,70.29,0,0,0,0,0,0,0
William_Henry_Harrison_,0,0,0,0,0,68.15,0,0
George_Washington,0,0,0,0,0,67.81,0,0
Benjamin_Harrison,0,0,0,67.56,0,0,0,0
Woodrow_Wilson,0,67.1,0,0,0,0,0,0
Andrew_Johnson,0,66.59,0,0,0,0,0,0
Zachary_Taylor_,0,0,0,0,0,65.62,0,0
Franklin_Pierce,0,0,0,0,0,64.87,0,0
Lyndon_B._Johnson,64.41,0,0,0,0,0,0,0
Ulysses_S._Grant,0,0,0,0,63.24,0,0,0
Franklin_D._Roosevelt_,0,63.2,0,0,0,0,0,0
Calvin_Coolidge,60.51,0,0,0,0,0,0,0
Theodore_Roosevelt,0,0,0,0,0,60.19,0,0
Barack_Obama,0,0,0,0,0,0,59.28,0
William_McKinley_,0,0,58.62,0,0,0,0,0
Warren_G._Harding_,57.75,0,0,0,0,0,0,0
Chester_A._Arthur,0,57.12,0,0,0,0,0,0
Abraham_Lincoln_,0,0,56.17,0,0,0,0,0
James_K._Polk,0,0,0,0,0,53.62,0,0
James_A._Garfield_,0,0,49.83,0,0,0,0,0
John_F_Kennedy_,0,0,46.48,0,0,0,0,0
