Month,Consumer_price_index_(2015=100)
Nov_2020,117.09
Oct_2020,117.13
Sep_2020,116.31
Aug_2020,116.3
Jul_2020,116.28
Jun_2020,115.55
May_2020,115.08
Apr_2020,114.92
Mar_2020,114.95
Feb_2020,115.02
Jan_2020,114.69
Dec_2019,114.23
Nov_2019,114.12
Oct_2019,113.99
Sep_2019,113.97
Aug_2019,113.76
Jul_2019,113.69
Jun_2019,113.04
May_2019,112.42
Apr_2019,112.45
Mar_2019,112.48
Feb_2019,112.18
Jan_2019,111.58
Dec_2018,109.44
Nov_2018,109.1
Oct_2018,108.93
Sep_2018,108.53
Aug_2018,108.77
Jul_2018,108.62
Jun_2018,107.9
May_2018,107.74
Apr_2018,107.52
Mar_2018,107.08
Feb_2018,106.88
Jan_2018,106.8
