Household_composition,Percentage_of_respondents
One_adult_retired_mainly_dependent_on_state_pensions,45
One_adult_other_retired,60
One_adult_non-retired,82
One_adult_one_child,90
One_adult_two_or_more_children,85
Two_adults_retired_mainly_dependent_on_state_pensions,81
Two_adults_other_retired,89
Two_adults_non-retired,97
Two_adults_one_child,97
Two_adults_two_children,99
Two_adults_three_children,96
Two_adults_four_or_more_children,100
Three_adults,96
Three_adults_one_or_more_children,100
All_other_households_without_children,99
All_other_households_with_children,99
