Response,Sao_Paolo,New_York,Berlin,Moscow,Paris,Milan,Stockholm,Manchester
March_3_2020,116,102,94,117,101,44,93,98
March_10_2020,117,90,83,106,88,13,87,93
March_17_2020,45,20,28,82,15,6,39,47
March_24_2020,11,8,12,57,6,4,32,16
March_31_2020,14,7,12,17,6,3,29,10
April_7_2020,12,6,12,17,5,3,30,10
April_14_2020,11,6,12,17,6,4,29,10
April_21_2020,7,6,15,17,6,4,35,10
April_28_2020,11,7,17,17,7,4,29,8
May_5_2020,11,7,20,14,8,9,33,9
May_12_2020,13,7,23,18,22,8,31,10
May_19_2020,11,8,27,20,28,13,35,13
May_26_2020,12,9,30,25,32,17,45,15
June_2_2020,13,11,34,28,48,20,44,17
June_9_2020,15,12,37,46,48,23,47,16
June_16_2020,17,13,41,63,57,27,49,17
June_23_2020,16,16,43,68,64,31,55,22
June_30_2020,18,17,46,68,68,31,54,23
July_7_2020,18,17,48,66,71,35,52,27
July_14_2020,19,20,55,65,56,38,48,31
July_21_2020,19,20,52,67,68,35,45,31
July_28_2020,22,20,59,68,65,33,47,35
Aug_4_2020,22,19,61,73,54,27,54,33
Aug_11_2020,22,23,65,74,48,19,64,38
Aug_18_2020,21,24,63,79,52,18,67,40
Aug__25_2020,24,24,62,80,61,26,67,40
Sep_1_2020,25,24,62,88,78,44,68,47
Sep_8_2020,27,27,60,82,88,57,67,53
Sep_15_2020,26,27,65,83,88,66,66,57
Sep_22_2020,24,27,63,86,90,69,70,62
Sep_29_2020,27,26,65,78,84,68,63,56
Oct_6_2020,29,27,63,74,81,68,76,51
Oct_13_2020,29,25,60,60,80,61,64,53
Oct_20_2020,29,27,52,56,70,51,71,49
Oct_27_2020,29,27,51,59,67,38,74,44
Nov_3_2020,30,25,40,53,29,31,57,54
Nov_10_2020,30,27,35,51,30,15,53,35
Nov_17_2020,28,25,34,50,31,17,49,35
Nov_24_2020,30,24,35,50,32,17,45,34
Dec_1_2020,28,22,37,48,43,21,50,37
Dec_8_2020,30,22,35,53,45,18,49,41
