baseball_team,Revenue_multiple
New_York_Yankees,3.3
Boston_Red_Sox,3.1
New_York_Mets,3.0
Chicago_Cubs,2.7
Los_Angeles_Dodgers,2.7
San_Diego_Padres,2.6
St._Louis_Cardinals,2.4
Texas_Rangers,2.4
Houston_Astros,2.3
Minnesota_Twins,2.3
San_Francisco_Giants,2.3
Seattle_Mariners,2.3
Atlanta_Braves,2.3
Chicago_White_Sox,2.2
Philadelphia_Phillies,2.2
Cleveland_Indians,2.2
Los_Angeles_Angels,2.2
Arizona_Diamondbacks,2.1
Florida_Marlins,2.1
Baltimore_Orioles,2.1
Kansas_City_Royals,2.0
Colorado_Rockies,2.0
Tampa_Bay_Rays,1.9
Cincinnati_Reds,1.9
Pittsburgh_Pirates,1.9
Milwaukee_Brewers,1.9
Toronto_Blue_Jays,1.8
Washington_Nationals,1.8
Oakland_Athletics,1.8
Detroit_Tigers,1.8
