Brand/_segment,Percent_sales_increase
Gillete_Fusion/_cartridges,-9.8
Philips_Norelco/_electric_shaver_groomer,1.6
Gillette_Mach3/_cartridges,4
Degree_Men's/_deodorant,0.7
Gillette_Fusion_ProGlide/_cartridges,-0.3
Old_Spice_Red_Zone/_toiletries_and_grooming,5.6
Just_for_Men's/_hair_coloring,-3.5
Axe/_liquid_body_wash,4.9
Old_Spice_High_Endurance/_deodorant,1
Axe_Dry/_deodorants,1.3
Gillette_Fusion_ProGlide_Power_/_Cartridges,-6.1
Dove_Men+Care/_liquid_body_wash,15.4
Edge/_shaving_cream,-13.9
Edge/_toiletries_and_grooming,-14.5
Old_Spice_Red_Zone/_deodorants,-2.6
Gillette_Fusion_Power/_cartridges,-5.7
Gillette_Custom_Plus/_disposables,2.3
Old_Spice/_toiletries_and_grooming,69.5
Gillette_Mach3_Turbo/_cartridges,-15.5
Dove_Men+Care/_deodorant,29.1
