Week_ending,Number_of_initial_unemployment_insurance_claims_in_thousands
January_2_2021,787
December_26_2020,790
December_19_2020,806
December_12_2020,892
December_5_2020,862
November_28_2020,716
November_21_2020,787
November_14_2020,748
November_7_2020,711
October_31_2020,757
October_24_2020,758
October_17_2020,797
October_10_2020,842
October_3_2020,767
September_26_2020,849
September_19_2020,873
September_12_2020,866
September_5_2020,893
August_29_2020,884
August_22_2020,1011
August_15_2020,1104
August_8_2020,971
August_1_2020,1191
July_25_2020,1435
July_18_2020,1422
July_11_2020,1308
July_4_2020,1310
June_27_2020,1408
June_20_2020,1482
June_13_2020,1540
June_6_2020,1566
May_30_2020,1897
May_23_2020,2123
May_16_2020,2446
May_9_2020,2687
May_2_2020,3176
April_25_2020,3867
April_18_2020,4442
April_11_2020,5237
April_4_2020,6615
March_28_2020,6867
March_21_2020,3307
March_14_2020,282
March_7_2020,211
February_29_2020,217
February_22_2020,220
February_15_2020,215
February_8_2020,204
February_1_2020,201
January_25_2020,212
January_18_2020,220
January_11_2020,207
January_4_2020,212
