Metropolitan_statistical_area,"Robbery_cases_per_100,000_population"
Baltimore-Columbia-Towson_MD,242.7
Oakland-Berkeley-Livermore_CA,227.7
San_Francisco-San_Mateo-Redwood_City_CA,225.0
San_Francisco-Oakland-Berkeley_CA,217.4
Anchorage_AK,208.4
Memphis_TN-MS-AR,207.1
Stockton_CA,206.7
Albuquerque_NM,194.0
Los_Angeles-Long_Beach-Glendale_CA,185.0
Detroit-Dearborn-Livonia_MI,166.0
Los_Angeles-Long_Beach-Anaheim_CA,157.3
Vineland-Bridgeton_NJ,157.1
Fairbanks_AK,154.7
Vallejo_CA,147.9
Lubbock_TX,147.2
Bakersfield_CA,138.1
Milwaukee-Waukesha_WI,136.4
Albany_GA,135.3
Modesto_CA,131.7
Miami-Miami_Beach-Kendall_FL,131.5
Macon-Bibb_County_GA,130.0
Monroe_LA,126.0
Corpus_Christi_TX,124.8
Tucson_AZ,123.9
Las_Vegas-Henderson-Paradise_NV,123.7
Cleveland-Elyria_OH,120.5
Nashville-Davidson–Murfreesboro–Franklin_TN,119.1
Beaumont-Port_Arthur_TX,118.0
Pine_Bluff_AR,115.9
Durham-Chapel_Hill_NC,115.4
Springfield_IL,115.3
Miami-Fort_Lauderdale-Pompano_Beach_FL,114.0
Riverside-San_Bernardino-Ontario_CA,113.4
Greensboro-High_Point_NC,113.3
Toledo_OH,111.8
New_Orleans-Metairie_LA,109.8
Topeka_KS,109.5
Fort_Lauderdale-Pompano_Beach-Deerfield_Beach_FL,108.7
Alexandria_LA,108.5
Florence_SC,107.8
Baton_Rouge_LA,107.4
Trenton-Princeton_NJ,105.6
Atlantic_City-Hammonton_NJ,103.4
Sacramento-Roseville-Folsom_CA,102.0
Buffalo-Cheektowaga_NY,100.9
Columbus_OH,99.9
Washington-Arlington-Alexandria_DC-VA-MD-WV,99.9
Urban_Honolulu_HI,97.9
Fort_Wayne_IN,97.6
Danville_IL,97.5
