Response,Share_of_respondents
Attractive_deals/promotions/sales,50
Interested_in_new_product_offerings,33
Received_a_promotion_via_email_or_text/SMS_message,27
To_research_products_on_social_media_before_I_buy_them,21
Because_I_shop_with_them,20
Friend's_or_expert's_recommendation,19
Advertising_(e.g._TV_outdoor_newspaper/magazine_website),16
Opportunity_to_participate_in_competitions_through_social_media,15
Had_a_good_or_bad_experience_and_wanted_to_provide_feedback_through_social_media,12
Flyer_or_recommendation_in-store,12
The_brand_provides_customer_service_through_social_media,12
To_learn_about_and_provide_feedback_on_a_brand's_social/environmental_commitment,11
The_opportunity_to_influence_product_design,9
Brand_contacted_me_through_social_media,9
Interested_in_interacting_with_the_brand_and_its_online_followers,9
