Month,Market_share
Sep_20,6.67
Aug_20,7.02
Jul_20,6.87
Jun_20,5.57
May_20,7.41
Apr_20,3.15
Mar_20,6.45
Feb_20,5.63
Jan_20,6.54
Dec_19,5.84
Nov_19,6
Oct_19,5.29
Sep_19,3.71
Aug_19,9.79
Jul_19,6.57
Jun_19,6.36
May_19,6.85
Apr_19,7.73
Mar_19,6.14
Feb_19,6.24
Jan_19,5.36
Dec_18,4.38
Nov_18,4.31
Oct_18,4.22
Sep_18,4.07
Aug_18,8.06
Jul_18,8.21
Jun_18,6.18
May_18,7.1
Apr_18,7.82
Mar_18,6.32
Feb_18,7.6
Jan_18,7.22
Dec_17,7
Nov_17,7.38
Oct_17,8.66
Sep_17,6.95
Aug_17,8.24
Jul_17,7.96
Jun_17,6.19
May_17,7.39
Apr_17,8.61
Mar_17,5.49
Feb_17,6.3
Jan_17,6.69
Dec_16,6.36
Nov_16,7.02
Oct_16,8.14
