Month,Inflation_rate
Nov_'20,2
Oct_'20,2.4
Sep_'20,2.8
Aug_'20,3
Jul_'20,3.9
Jun_'20,5.7
May_'20,6.2
Apr_'20,7.4
Mar_'20,8
Feb_'20,7.5
Jan_'20,7.5
Dec_'19,6.9
Nov_'19,6.5
Oct_'19,6.1
Sep_'19,6.3
Aug_'19,7.2
Jul_'19,6.8
Jun_'19,5.7
May_'19,5
Apr_'19,3.3
Mar_'19,2.6
Feb_'19,2.1
Jan_'19,0.9
Dec_'18,0.9
Nov_'18,0.7
Oct_'18,1.8
Sep_'18,2.3
Aug_'18,2.1
Jul_'18,2.2
Jun_'18,2.7
May_'18,3
Apr_'18,4.1
Mar_'18,3.7
Feb_'18,3.4
Jan_'18,4.8
Dec_'17,5.4
Nov_'17,6
Oct_'17,5.4
Sep_'17,5
Aug_'17,4.3
Jul_'17,4.4
Jun_'17,3.7
May_'17,3.7
Apr_'17,2.8
Mar_'17,3.1
Feb_'17,3.9
Jan_'17,3.3
Dec_'16,2.5
Nov_'16,1.2
