Month,Inflation_rate
Jul_'20,3.5
Jun_'20,4.2
May_'20,2.7
Apr_'20,2.5
Mar_'20,1.8
Feb_'20,1.8
Jan_'20,3.1
Dec_'19,4.8
Nov_'19,6.6
Oct_'19,8.2
Sep_'19,8.8
Aug_'19,10.2
Jul_'19,9.9
Jun_'19,8.5
May_'19,9.2
Apr_'19,7.4
Mar_'19,7
Feb_'19,7.8
Jan_'19,7.9
Dec_'18,7.8
Nov_'18,7.5
Oct_'18,7
Sep_'18,6.7
Aug_'18,7.1
Jul_'18,7.1
Jun_'18,9.5
May_'18,13.7
Apr_'18,17.2
Mar_'18,17.3
Feb_'18,17.3
Jan_'18,17.9
Dec_'17,17.7
Nov_'17,17.9
Oct_'17,18
Sep_'17,18.8
Aug_'17,16.8
Jul_'17,16.3
Jun_'17,15
May_'17,10.6
Apr_'17,8.3
Mar_'17,7.2
Feb_'17,5.3
Jan_'17,3
Dec_'16,3.3
Nov_'16,3.4
Oct_'16,4.9
Sep_'16,4.2
Aug_'16,5.1
Jul_'16,4.4
Jun_'16,3.2
May_'16,3.9
Apr_'16,6.9
Mar_'16,11.4
Feb_'16,29.7
Jan_'16,38.1
Dec_'15,41.5
Nov_'15,44.7
Oct_'15,43
Sep_'15,45.1
Aug_'15,47.5
Jul_'15,49.9
Jun_'15,51.9
May_'15,53
