Response,Percentage_of_respondents
Avoid_travel_to_infected_countries_or_areas,69
Wash_hands_more_often,69
Take_a_vaccine_if_one_is_developed,45
Avoid_large_gatherings_of_people,32
Use_more_disinfectants,37
Avoid_travel_by_airplane_for_holiday_or_leisure,30
Wear_a_face_mask,22
Avoided_purchasing_food_products_from_China,29
Avoid_buying_other_products_made_in_China,21
Avoid_travel_by_airplane_for_business_purpose,25
Avoid_shaking_hands_with_others,30
Avoid_travel_on_subways_or_buses,20
Avoid_contact_with_people_of_Chinese_origin_or_appearance,11
Avoid_eating_in_Asian_restaurants,12
Avoid_travel_by_taxis,10
Not_go_to_school_or_work,4
None_of_the_above_(Exclusive_code_anchor),10
