Response,Share_of_respondents
Internet_encourages_contact_with_family_or_friends,48
Mobile_technology_enhances_interactions_with_immediate_family,45
Social_networks_are_a_great_way_to_feel_close_to_family_and_friends,42
Social_media_helps_understanding_family_members_better,21
Technology_devices_make_one_feel_more_connected,53
Technology_makes_getting_in_touch_with_family_members_easier,75
Communication_technology_enables_constant_dialogue_wth_family_and_friends,66
Technology_makes_it_easier_to_arrange_meetings_with_family_members,54
Technology_has_little_impact_on_one's_frequency_of_communication_with_friends_or_family,45
Uncomfortable_knowing_family_members_can_monitor_one's_activity_on_social_media,42
Uncomfortable_with_family_members_being_able_to_get_in_touch_at_any_time,20
Technology_has_led_to_less_face-to-face_interactions_among_families,27
Playing_online_games_with_family_members_helps_connect_with_them,20
Uncomfortable_with_finding_out_about_life_of_family_members_via_social_network,40
