MLB_Team,Number_of_followers_in_millions
New_York_Yankees,14.51
Boston_Red_Sox,9.21
LA_Dodgers,7.73
Chicago_Cubs,7.59
San_Franciso_Giants,5.96
Toronto_Blue_Jays,5.23
Atlanta_Braves,4.6
St_Louis_Cardinals,4.49
Detroit_Tigers,4.49
Texas_Rangers,4.36
Philadelphia_Phillies,4.24
Houston_Astros,4.1
New_York_Mets,3.48
LA_Angels,3.22
Kansas_City_Royals,3.09
Cleveland_Indians,2.98
Chicago_White_Sox,2.95
Pittsburgh_Pirates,2.56
Cincinnati_Reds,2.54
Baltimore_Orioles,2.46
Seattle_Mariners,2.41
Minnesota_Twins,2.24
Milwaukee_Brewers,2.18
Washington_Nationals,2.09
Colorado_Rockies,1.92
Oakland_Athletics,1.76
Arizona_Diamondbacks,1.71
Tampa_Bay_Rays,1.6
San_Diego_Padres,1.57
Miami_Marlins,1.54
