Response,Share_of_respondents
I_have_been_cyber_bullied,17.4
Mean_or_hurtful_comments_online,24.9
Rumors_online,22.2
Threatened_to_hurt_me_through_a_cell_phone_text,12.2
Posted_mean_names_or_comments_online_about_me_with_a_sexual_meaning,12
Threatened_to_hurt_me_online,11.7
Posted_a_mean_or_hurtful_picture_online_of_me,10.8
Pretended_to_be_me_online,10.1
Posted_mean_names_or_comments_about_my_race_or_color,9.5
Posted_a_mean_or_hurtful_video_online_of_me,7.1
Posten_mean_names_or_comments_online_about_my_religion,6.7
Created_a_mean_or_hurtful_web_page_about_me,6.4
One_or_more_of_above_two_or_more_times,30.1
