Month,Price_in_British_pounds_per_kilogram
Nov_'19,1.17
Oct_'19,0.96
Sep_'19,1.09
Mar_'19,1.19
Feb_'19,1.12
Jan_'19,1.07
Dec_'18,0.92
Nov_'18,0.89
Oct_'18,0.88
Sep_'18,0.93
Mar_'18,0.82
Feb_'18,0.94
Jan_'18,0.96
Dec_'17,0.86
Nov_'17,0.82
Oct_'17,0.77
Sep_'17,0.98
Aug_'17,1.1
May_'17,0.96
Apr_'17,0.91
Mar_'17,0.73
Feb_'17,0.7
Jan_'17,0.72
Dec_'16,0.74
Nov_'16,0.69
Oct_'16,0.7
Sep_'16,0.88
May_'16,0.89
Apr_'16,0.7
Mar_'16,0.76
Feb_'16,0.72
Jan_'16,0.65
Dec_'15,0.58
Nov_'15,0.57
Oct_'15,0.66
Sep_'15,1.0
Mar_'15,0.7
Feb_'15,0.77
Jan_'15,0.73
