Week,Number_of_tests
Week_49,261229
Week_48,275712
Week_47,260717
Week_46,254295
Week_45,228023
Week_44,189301
Week_43,164742
Week_42,148267
Week_41,136883
Week_40,130060
Week_39,127952
Week_38,139471
Week_37,142673
Week_36,126188
Week_35,85419
Week_34,65266
Week_33,56762
Week_32,53772
Week_31,53032
Week_30,59205
Week_29,69529
Week_28,81859
Week_27,80031
Week_26,75171
Week_25,61842
Week_24,60296
Week_23,47080
Week_22,36466
Week_21,28986
Week_20,33003
Week_19,29129
Week_18,28802
Week_17,24560
Week_16,20233
Week_15,19880
Week_14,17783
Week_13,12349
Week_12,10404
Week_11,8990
Week_10,4302
Week_9,752
Week_4-8,180
