main_underserved_airline_routes,Non-stop_bookings,One-stop_bookings
Boston_(BOS)_-_Orlando_(MCO),713189,209558
Boston_(BOS)_-_Las_Vegas_(LAS),285224,203599
Orlando_(MCO)_-_Seattle/Tacoma_(SEA),124628,199336
Boston_(BOS)_-_San_Francisco_(SFO),1011472,177621
Boston_(BOS)_-_Los_Angeles_(LAX),928078,168790
Boston_(BOS)_-_Tampa_(TPA),325465,168627
Los_Angeles_(LAX)_-_Philadelphia_(PHL),257174,165659
Las_Vegas_(LAS)_-_Orlando_(MCO),272746,163481
Atlanta_(ATL)_-_Los_Angeles_(LAX),784512,162698
Los_Angeles_(LAX)_-_New_York_La_Guardia_(LGA),11507,159051
