healthcare_management_consulting_firm,Total_revenue_in_million_U.S._dollars
Deloitte_Consulting_(New_York),1900.0
Accenture_(Chicago),966.0
Advisory_Board_Co._(Washington),520.6
Booz_Allen_Hamilton_(McLean_Va.),518.1
Huron_Healthcare_(Chicago),492.8
Navigant_(Chicago),253.4
Ernst_&_Young_(New_York),249.5
KPMG_(New_York),223.0
FTI_Consulting_(Washington),192.8
CTG_Health_Solutions_(Buffalo_N.Y.),118.5
Quorum_Health_Resources_(Brentwood_Tenn.),104.8
Croe_Horwath_(Chicago),97.9
Alvarez_&_Marsal_Healthcare_Industry_Group_(New_York),92.3
Perficient_(St._Louis),81.7
Beacon_Partners_(Weymouth_Mass.),61.8
