Month,Market_share
Dec_20,5.64
Nov_20,6.87
Oct_20,7.72
Sep_20,7.17
Aug_20,6
Jul_20,5.86
Jun_20,6.58
May_20,9.89
Apr_20,5.92
Mar_20,6.67
Feb_20,7.22
Jan_20,7.46
Dec_19,6.46
Nov_19,6.64
Oct_19,7.9
Sep_19,8.86
Aug_19,5.44
Jul_19,7.67
Jun_19,6.69
May_19,7.85
Apr_19,7.29
Mar_19,7.32
Feb_19,7.43
Jan_19,7.61
Dec_18,7.89
Nov_18,7.18
Oct_18,7.63
Sep_18,8.9
Aug_18,5.17
Jul_18,6.95
Jun_18,6.35
May_18,6.95
Apr_18,7.06
Mar_18,7
Feb_18,7.53
Jan_18,7.27
Dec_17,6.84
Nov_17,7.38
Oct_17,7.67
Sep_17,7.37
Aug_17,6.2
Jul_17,7.17
Jun_17,6.46
May_17,7.87
Apr_17,8.78
Mar_17,6.35
Feb_17,7.34
Jan_17,7.47
