association_football_club,Number_of_titles
Sevilla_FC,6
Atletico_Madrid,3
FC_Internazionale_Milano,3
Liverpool_FC,3
Juventus,3
VfL_Borussia_Mönchengladbach,2
Chelsea_FC,2
IFK_Göteborg,2
Feyenoord,2
Parma_FC,2
Real_Madrid_CF,2
Tottenham_Hotspur_FC,2
FC_Porto,2
Ipswich_Town_FC,1
FC_Zenit,1
PSV_Eindhoven,1
FC_Bayern_Munich,1
SSC_Napoli,1
RSC_Anderlecht,1
CSKA_Moscow,1
Valencia_CF,1
FC_Schalke_04,1
Bayer_04_Leverkusen,1
Manchester_United,1
AFC_Ajax,1
FC_Shakhtar_Donetsk,1
Galatasaray_AS,1
Eintracht_Frankfurt,1
