Response,PC/Laptop,Tablet,Smartphone
E-mail,75,22,59
Online_shopping,72,18,43
Watching_movies/videos_online,67,23,52
Reading_news,57,19,48
Online_banking,56,11,36
Using_social_media_sites,54,19,54
Downloading_software/applications,51,16,42
Using_online_payment_systems/wallets,47,10,30
Uploading/sharing_content,37,11,39
Online_data_storage,36,10,29
Instant_messaging/video_calling,36,12,43
Listening_to_streaming_music/radio,34,12,38
Online_gaming,32,11,28
Visiting_adult_websites,24,6,17
Visiting_online_dating_websites/services_or_apps,18,6,18
Trading_securities/shares_online,18,4,9
Online_gambling/betting,15,5,10
