Response,Share_of_respondents
Clothing_shoes_and_other_accessories,93
Retail_stores,91
Groceries/food_and_beverages,90
Electronic_devices,89
Health_and_beauty_aids,89
Goods_for_the_home,84
Websites_or_social_networking_sites,82
Products_or_services_for_digital_services,82
Large_electronic_items,81
Small_household_appliances,80
Large_household_appliances,76
Vacation_or_travel_arrangements,71
Automobile_or_other_vehicles,71
Pets_and_pet_care,70
Health_and_medical_services,64
Property_insurance,58
Health_insurance_coverage,53
Financial_investments/services,53
Life_insurance_coverage,52
