product_industry_class,Change_in_percent_from_previous_year
Oil_And_Gas,27.16
Goods_Returned_Or_Reimported,21.98
Used_Or_Second-Hand_Merchandise,4.83
Livestock_And_Livestock_Products,1.75
Miscellaneous_Manufactured_Commodities,1.68
Fabricated_Metal_Products,1.23
Special_Classification_Provision_Nspf,0.83
Chemicals,0.81
Apparel_And_Accessories,0.23
Food_And_Kindred_Products,0.08
Electrical_Equipment_Appliances_and_Components,-0.48
Re-exports,-1.03
Transportation_Equipment,-1.65
Printing_Publishing_&_Similar_Products,-2.06
Plastic_And_Rubber_Products,-2.72
Furniture_and_Fixtures,-2.86
Computers_and_Electronic_Products,-2.99
Textile_And_Fabrics,-3.01
Leather_And_Allied_Products,-3.58
Textile_Mill_Products,-4.05
Machinery_Except_Electrical,-4.29
Agricultural_Products_Total,-4.49
Scrap_&_Waste,-4.89
Nonmetallic_Mineral_Products,-5.44
Beverages_And_Tobacco,-6.15
Fish_Fresh_Or_Chilled;_And_Other_Marine_Products,-6.42
Paper_Products,-7.08
Petroleum_And_Coal_Products,-7.91
Minerals_And_Ores,-9.28
Wood_Products,-12.63
Primary_Metal_Products,-13.06
Forestry_Products_Nspf,-27.86
