cause_of_death,Abortion,Direct_obstetric_causes,Indirect_obstetric_causes
Abortion,0.4,0,0
Hypertension_edema_or_proteinuria,0,0.5,0
Sepsis_other_infections_and_complications_related_to_puerperium,0,0.3,0
Postpartum_hemorrhage,0,0.2,0
Placenta_praevia_placental_abruption_or_antepartum_hemorrhage,0,0.1,0
Obstetric_death_of_unspecified_cause,0,0.1,0
Other_direct_obstetric_causes,0,0.3,0
Respiratory_disease,0,0,0.2
Cardiovascular_disease,0,0,0.2
Digestive_disease,0,0,0
VIH/AIDS,0,0,0
Other_indirect_obstetric_causes,0,0,0.3
