Quarter,Net_income_in_million_U.S._dollars
Q4_'20,-710
Q3_'20,-4718
Q2_'20,475
Q1_'20,2133
Q4_'19,785
Q3_'19,1430
Q2_'19,5431
Q1_'19,2788
Q4_'18,2322
Q3_'18,2916
Q2_'18,2937
Q1_'18,4423
Q4_'17,1747
Q3_'17,2366
Q2_'17,2388
Q1_'17,2479
Q4_'16,1771
Q3_'16,2597
Q2_'16,2143
Q1_'16,2880
Q4_'15,1609
Q3_'15,2483
Q2_'15,2108
Q1_'15,2228
Q4_'14,1499
Q3_'14,2245
Q2_'14,1917
Q1_'14,1840
Q4_'13,1394
Q3_'13,1847
Q2_'13,1513
Q1_'13,1382
Q4_'12,1244
Q3_'12,1831
Q2_'12,1143
Q1_'12,1464
Q4_'11,1087
Q3_'11,1476
Q2_'11,942
Q1_'11,1302
Q4_'10,835
Q3_'10,1331
Q2_'10,953
Q1_'10,844
