Response,Percentage_of_children_enrolled
District_of_Columbia,79
Vermont,72
Oklahoma,40
Florida,37
Wisconsin,36
Iowa,34
West_Virginia,33
Georgia,30
Texas,29
New_York,28
Illinois,26
New_Jersey,25
California,25
Arkansas,25
Nebraska,24
South_Carolina,24
Massachusetts,23
New_Mexico,22
Maine,22
Maryland,22
Connecticut,20
United_States,20
Kentucky,19
Colorado,16
Michigan,16
Alabama,16
Louisiana,15
Pennsylvania,15
Kansas,14
North_Carolina,12
Tennessee,11
Oregon,10
Virginia,9
Washington,7
Alaska,6
Minnesota,6
Ohio,6
Rhode_Island,5
North_Dakota,5
Delaware,4
Missouri,4
Nevada,3
Mississippi,3
Arizona,3
Hawaii,1
Montana,1
Guam,1
