Month,Number_of_cases
Dec_20,2
Dec_19,727
Dec_18,2703
Dec_17,2734
Dec_16,2844
Dec_15,3225
Dec_14,3831
Dec_13,739
Dec_12,1578
Dec_11,2873
Dec_10,2667
Dec_9,2727
Dec_8,2715
Dec_7,3353
Dec_6,592
Dec_5,1098
Dec_4,2549
Dec_3,2364
Dec_2,2611
Dec_1,2674
Nov_30,3289
Nov_29,560
Nov_28,1004
Nov_27,2696
Nov_26,2395
Nov_25,2665
Nov_24,2863
Nov_23,3950
Nov_22,589
Nov_21,1263
Nov_20,3081
Nov_19,2939
Nov_18,3563
Nov_17,4683
Nov_16,5687
Nov_15,1035
Nov_14,2301
Nov_13,5579
Nov_12,6398
Nov_11,1945
Nov_10,7569
Nov_9,8533
Nov_8,1447
Nov_7,3044
Nov_6,6638
Nov_5,7646
Nov_4,9205
Nov_3,12091
Nov_2,13850
Nov_1,2665
Oct_31,6308
Oct_30,15390
Oct_29,15079
Oct_28,17986
Oct_27,22184
Oct_26,19858
Oct_25,4893
Oct_24,11554
Oct_23,18875
Oct_22,17685
Oct_21,17481
Oct_20,19260
Oct_19,15559
Oct_18,4289
Oct_17,7992
Oct_16,13468
Oct_15,11806
Oct_14,12281
Oct_13,12565
Oct_12,9728
Oct_11,2402
Oct_10,4307
Oct_9,7783
Oct_8,6583
Oct_7,6790
Oct_6,5686
Oct_5,5245
Oct_4,1035
Oct_3,1708
Oct_2,3721
Oct_1,1337
Sep_30,1762
Sep_29,1774
Sep_28,1376
Sep_27,1827
Sep_26,2208
Sep_25,1881
Sep_24,1661
Sep_23,1834
Sep_22,1097
Sep_21,1547
Sep_20,1099
Sep_19,1673
Sep_18,2028
Sep_17,1153
Sep_16,489
Sep_15,851
Sep_14,977
Sep_13,941
Sep_12,969
Sep_11,1284
Sep_10,1143
Sep_9,1024
Sep_8,871
Sep_7,918
Sep_6,155
Sep_5,322
Sep_4,728
Sep_3,677
Sep_2,575
Sep_1,565
Aug_31,634
Aug_30,117
Aug_29,195
Aug_28,614
Aug_27,535
Aug_26,524
Aug_25,527
Aug_24,608
Aug_23,115
Aug_22,203
Aug_21,510
Aug_20,579
Aug_19,615
Aug_18,727
Aug_17,707
Aug_16,134
Aug_15,163
Aug_14,587
Aug_13,669
Aug_12,611
Aug_11,717
Aug_10,873
Aug_9,121
Aug_8,303
Aug_7,774
Aug_6,768
Aug_5,765
Aug_4,812
Aug_3,794
Aug_2,148
Aug_1,307
Jul_31,677
Jul_30,634
Jul_29,688
Jul_28,687
Jul_27,593
Jul_26,187
Jul_25,230
Jul_24,496
Jul_23,438
Jul_22,553
Jul_21,144
Jul_20,443
Jul_19,65
Jul_18,129
Jul_17,274
Jul_16,223
Jul_15,260
Jul_14,207
Jul_13,225
Jul_12,43
Jul_11,62
Jul_10,127
Jul_9,123
Jul_8,137
Jul_7,101
Jul_6,113
Jul_5,24
Jul_4,61
Jul_3,94
Jul_2,91
Jul_1,124
Jun_30,100
Jun_29,127
Jun_28,28
Jun_27,40
Jun_26,112
Jun_25,75
Jun_24,100
Jun_23,109
Jun_22,144
Jun_21,19
Jun_20,49
Jun_19,120
Jun_18,104
Jun_17,89
Jun_16,55
Jun_15,71
Jun_14,111
Jun_13,99
Jun_12,108
Jun_11,142
Jun_10,132
Jun_9,89
Jun_8,122
Jun_7,154
Jun_6,165
Jun_5,140
Jun_4,82
Jun_3,70
Jun_2,98
Jun_1,136
May_31,195
May_30,125
May_29,212
May_28,257
May_27,137
May_26,198
May_25,250
May_24,282
May_23,299
May_22,276
May_21,252
May_20,192
May_19,232
May_18,279
May_17,291
May_16,345
May_15,356
May_14,307
May_13,202
May_12,330
May_11,368
May_10,485
May_9,585
May_8,591
May_7,639
May_6,272
May_5,242
May_4,361
May_3,389
May_2,485
May_1,513
Apr_30,660
Apr_29,525
Apr_28,647
Apr_27,553
Apr_26,809
Apr_25,1032
Apr_24,1496
Apr_23,908
Apr_22,933
Apr_21,973
Apr_20,1487
Apr_19,1313
Apr_18,1045
Apr_17,1329
Apr_16,1236
Apr_15,2454
Apr_14,530
Apr_13,942
Apr_12,1629
Apr_11,1351
Apr_10,2336
Apr_9,2239
Apr_8,1598
Apr_7,1515
Apr_6,1934
Apr_5,666
Apr_4,923
Apr_3,1694
Apr_2,1384
Apr_1,1189
Mar_31,876
Mar_30,1063
Mar_29,1702
Mar_28,1850
Mar_27,1049
Mar_26,1298
Mar_25,668
Mar_24,526
Mar_23,342
Mar_22,462
Mar_21,558
Mar_20,462
Mar_19,309
Mar_18,243
Mar_17,185
Mar_16,172
Mar_15,197
Mar_14,133
Mar_13,160
Mar_12,85
Mar_11,47
Mar_10,28
Mar_9,39
Mar_8,31
Mar_7,60
Mar_6,59
Mar_5,27
Mar_4,10
Mar_3,5
Mar_2,6
Mar_1,2
Feb_2,1
