association_football_club,Kit_sponsorship_revenue_in_million_euros
VfL_Wolfsburg_(Volkswagen),70.0
FC_Bayern_Munich_(Telekom),45.0
Borussia_Dortmund_(Evonik),35.0
RB_Leipzig_(Red_Bull),35.0
FC_Schalke_04_(Gazprom),20.0
VfB_Stuttgart_(Mercedes-Benz-Bank),10.0
Borussia_Mönchengladbach_(Postbank),9.0
SV_Werder_Bremen_(Wiesenhof),8.0
1._FC_Köln_(Rewe),7.5
Eintracht_Frankfurt_(Indeed),7.0
Bayer_04_Leverkusen_(Barmenia),6.0
TSG_Hoffenheim_(SAP),5.5
FC_Augsburg_(WWK),4.2
FSV_Mainz_05_(Kömmerling),4.0
SC_Freiburg_(Schwarzwaldmilch),3.0
Union_Berlin_(Aroundtown),2.5
Arminia_Bielefeld_(Schüco),2.5
