river,Discharge_in_thousand_cubic_feet_per_second
Mississippi_(Louisiana),593.0
St_Lawrence_(Canada),348.0
Ohio_(Illinois-Kentucky),281.0
Columbia_(Oregon-Washington),265.0
Yukon_(Alaska),225.0
Missouri_(Missouri),76.2
Tennessee_(Kentucky),68.0
Mobile_(Alabama),67.2
Kuskokwim_(Alaska),67.0
Copper_(Alaska),59.0
Atchafalaya_(Louisiana),58.0
Snake_(Washington),56.9
Stikine_(Alaska),56.0
Red_River_(Louisiana),56.0
Susitna_(Alaska),51.0
Arkansas_(Arkansas),41.0
Tanana_(Alaska),41.0
Susquehanna_(Maryland),38.2
Willamette_(Oregon),37.4
Nushagak_(Alaska),36.0
Procupine_(Alaska),23.0
