Pulitzer_Prize_Category,Number_of_winners
Investigative_reporting_(1985-present),16
Feature_writing_(1979-present),15
Commentary_(1970-present),14
National_reporting_(1948-present),11
Criticism_(1970-present),11
International_reporting_(1948-present),10
Editorial_writing_(1917-present),10
Feature_photography_(1968-present),8
Public_service_(1917-present),7
Explanatory_reporting_(1998-present),6
Local_reporting_(1948-1952_2007-present),6
Breaking_news_photography_(2000-present),4
Editorial_cartooning_(1922-present),2
