State,Civilian_labor_force_in_thousands
California,19412
Texas,14045
Florida,10337
New_York,9514
Pennsylvania,6492
Illinois,6447
Ohio,5802
Georgia,5110
North_Carolina,5080
Michigan,4937
New_Jersey,4493
Virginia,4412
Washington,3914
Massachusetts,3817
Arizona,3551
Indiana,3387
Tennessee,3345
Maryland,3261
Colorado,3149
Minnesota,3110
Wisconsin,3105
Missouri,3083
South_Carolina,2376
Alabama,2242
Oregon,2104
Louisiana,2095
Kentucky,2073
Connecticut,1914
Oklahoma,1841
Iowa,1739
Utah,1608
Nevada,1542
Kansas,1487
Arkansas,1363
Mississippi,1276
Nebraska,1035
New_Mexico,955
Idaho,882
West_Virginia,797
New_Hampshire,774
Maine,693
Hawaii,665
Rhode_Island,556
Montana,533
Delaware,487
South_Dakota,464
District_of_Columbia,410
North_Dakota,404
Alaska,348
Vermont,342
Wyoming,292
