Month,Number_of_excess_deaths
Dec_25,3566
Dec_18,1463
Dec_11,1542
Dec_4,1608
Nov_27,2099
Nov_20,2155
Nov_13,2579
Nov_6,1481
Oct_30,996
Oct_23,980
Oct_16,669
Oct_9,143
Oct_2,390
Sep_25,257
Sep_18,259
Sep_11,505
Sep_4,-1443
Aug_28,798
Aug_21,474
Aug_14,307
Aug_7,-107
Jul_31,-90
Jul_24,-161
Jul_17,-270
Jul_10,-560
Jul_3,-43
June_26,-314
June_19,-65
June_12,559
June_5,732
May_29,1653
May_22,2348
May_15,4385
May_8,3081
May_1,8012
Apr_24,11539
Apr_17,11854
Apr_10,7996
Apr_3,6082
Mar_27,1011
Mar_20,72
Mar_13,-186
Mar_6,-603
Feb_28,-367
Feb_21,-707
Feb_14,-683
Feb_7,-939
Jan_31,-594
Jan_24,-904
Jan_17,-226
Jan_10,236
Jan_3,79
