Year,Men,Women
Rio_2016,17.86,15.17
London_2012,17.81,14.98
Beijing_2008,17.67,15.39
Athens_2004,17.19,15.3
Sydney_2000,17.71,15.2
Atlanta_1996,18.09,15.33
Barcelona_1992,18.17,0
Seoul_1988,17.61,0
Los_Angeles_1984,17.26,0
Moscow_1980,17.35,0
Montreal_1976,17.29,0
Munich_1972,17.35,0
Mexico_City_1968,17.39,0
Tokyo_1964,16.85,0
Rome_1960,16.81,0
Melbourne_1956,16.35,0
Helsinki_1952,16.22,0
London_1948,15.4,0
Berlin_1936,16.0,0
Los_Angeles_1932,15.72,0
Amsterdam_1928,15.21,0
Paris_1924,15.53,0
Antwerp_2020,14.51,0
Stockholm_1912,14.76,0
London_1908,14.92,0
St._Louis_1904,14.35,0
Paris_1900,14.47,0
Athens_1896,13.71,0
