Month,Infected,Cured,Deaths
Mar_6,1,0,0
Mar_7,3,0,0
Mar_8,5,0,0
Mar_9,7,0,0
Mar_10,7,0,0
Mar_11,10,0,0
Mar_12,21,0,0
Mar_13,32,0,0
Mar_14,44,0,0
Mar_15,61,0,0
Mar_16,72,0,0
Mar_17,97,0,0
Mar_18,105,0,0
Mar_19,124,0,0
Mar_20,137,0,0
Mar_21,178,0,0
Mar_22,185,0,0
Mar_23,204,0,0
Mar_24,216,0,0
Mar_25,226,2,0
Mar_26,269,2,0
Mar_27,292,2,0
Mar_28,314,2,0
Mar_29,336,2,0
Mar_30,363,3,1
Mar_31,400,3,1
Apr_1,426,5,1
Apr_2,450,5,1
Apr_3,471,8,1
Apr_4,485,8,1
Apr_5,534,8,1
Apr_6,581,8,2
Apr_7,682,13,2
Apr_8,701,16,2
Apr_9,715,23,2
Apr_10,728,23,2
Apr_11,742,23,2
Apr_12,816,107,2
Apr_13,835,113,2
Apr_14,863,151,6
Apr_15,977,167,8
Apr_16,1049,175,9
Apr_17,1089,213,11
Apr_18,1121,229,12
Apr_19,1173,251,13
Apr_20,1199,258,14
Apr_21,1244,284,14
Apr_22,1325,288,15
Apr_23,1360,355,17
Apr_24,1373,386,17
Apr_25,1379,397,18
Apr_26,1381,403,18
Apr_27,1384,423,20
Apr_28,1391,484,22
Apr_29,1396,524,23
Apr_30,1403,558,23
May_1,1407,608,24
May_2,1408,619,24
May_3,1413,643,25
May_4,1421,741,25
May_5,1429,762,25
May_6,1445,806,26
May_7,1455,905,26
May_8,1455,919,26
May_9,1457,941,26
May_10,1457,959,26
May_11,1465,983,27
May_12,1469,1060,27
May_13,1477,1112,27
May_14,1480,1131,27
May_15,1493,1151,28
May_16,1494,1163,28
May_17,1495,1185,28
May_18,1495,1192,28
May_19,1496,1231,28
May_20,1502,1245,28
May_21,1503,1256,28
May_22,1504,1280,28
May_23,1509,1300,28
May_24,1511,1307,28
May_25,1513,1322,28
May_26,1515,1327,28
May_27,1520,1332,28
May_28,1520,1338,28
May_29,1521,1356,28
May_30,1521,1366,28
May_31,1522,1368,28
Jun_1,1522,1372,28
Jun_2,1525,1375,28
Jun_3,1526,1376,28
Jun_4,1526,1379,28
Jun_5,1528,1379,28
Jun_6,1528,1389,28
Jun_7,1530,1396,28
Jun_8,1531,1402,28
Jun_9,1533,1404,28
Jun_10,1541,1409,28
Jun_11,1542,1409,28
Jun_12,1545,1410,28
Jun_13,1548,1410,28
Jun_14,1552,1410,28
Jun_15,1552,1426,28
Jun_16,1561,1437,28
Jun_17,1561,1443,28
Jun_18,1576,1447,28
Jun_19,1586,1447,28
Jun_20,1587,1447,28
Jun_21,1588,1447,28
Jun_22,1589,1448,28
Jun_23,1607,1448,28
Jun_24,1630,1452,28
Jun_25,1643,1455,28
Jun_28,1665,1464,28
Jun_29,1667,1464,28
Jun_30,1687,1466,28
Jul_3,1720,1466,28
Jul_6,1765,1466,28
Jul_9,1870,1481,28
Jul_12,1902,1493,28
Jul_19,1980,1538,28
Jul_26,2181,1616,28
Aug_2,2354,1746,29
Aug_9,2599,1866,31
Aug_14,2801,1944,31
Aug_24,3424,2153,33
Aug_30,3917,2377,33
Sep_6,4636,2802,37
Oct_12,20355,6031,61
Oct_20,31400,8004,98
Nov_3,63556,14257,235
Nov_12,81772,24314,464
Nov_20,93396,40816,614
