Company,One-year_growth_rate
Microport_Scientific,83.9
Lumiradx,64.3
Teladoc,57.3
Lepu_Medical_Technology_Beijing,51.4
Invitae,36.6
Align_Technology,34.9
Shenzhen_Mindray_Bio-Medical_Electronics,30.8
Becton_Dickinson,30
Surmodics,28.8
Glaukos,27.7
Globus_Medical,27.1
Cerus,26.3
Masimo,26
Teleflex,25.3
Intuitive_Surgical,25.1
Healthequity,24.9
Abiomed,24.2
Eppendorf,24.1
Varex_Imaging,23.3
Integra_Lifesciences,23
Cooper_Companies,22.5
Nuvasive,22.4
Insulet,19
Natus_Medical,18.6
Wright_Medical,18
Omnicell,17.9
Conmed,17.5
Sysmex,16.9
Resmed,16.4
Ypsomed,16.4
Demant,16.2
Quotient,16.1
Merit_Medical_Systems,15.8
Terumo,15.3
Carl_Zeiss,14.8
Fresenius,14.5
Penumbra,14.2
Coloplast,13
Edwards_Lifesciences,12.6
Asahi_Intecc,12.3
Avanos_Medical,12.3
Boston_Scientific,11.6
Varian_Medical_Systems,11.4
Smith_&_Nephew,10.3
Livanova,10.2
Cochlear,10
Stryker,9.5
Thermo_Fisher_Scientific,8.9
Puretech_Health,8.3
Topcon,8.1
