basketball_team,Payroll_in_million_U.S._dollars
Oklahoma_City_Thunder,162
Golden_State_Warriors,156
Toronto_Raptors,146
Houston_Rockets,146
Miami_Heat,144
Portland_Trail_Blazers,143
San_Antonio_Spurs,142
Washington_Wizards,142
Boston_Celtics,139
Detroit_Pistons,138
Cleveland_Cavaliers,137
Memphis_Grizzlies,136
Brooklyn_Nets_(New_Jersey_Nets),135
New_York_Knicks,134
Minnesota_Timberwolves,132
Denver_Nuggets,131
Utah_Jazz,129
Los_Angeles_Clippers,128
Charlotte_Hornets,127
New_Orleans_Pelicans,127
Milwaukee_Bucks,126
Los_Angeles_Lakers,120
Orlando_Magic,120
Indiana_Pacers,119
Philadelphia_76ers,117
Chicago_Bulls,115
Phoenix_Suns,115
Dallas_Mavericks,108
Sacramento_Kings,107
Atlanta_Hawks,95
