Month,Number_of_deaths
Dec_14,3277
Dec_13,4498
Dec_12,5421
Dec_11,5666
Dec_10,5370
Dec_9,6074
Dec_8,4090
Dec_7,3769
Dec_6,4255
Dec_5,5708
Dec_4,5709
Dec_3,5661
Dec_2,6195
Dec_1,4834
Nov_30,3931
Nov_29,4115
Nov_28,5986
Nov_27,5561
Nov_26,5701
Nov_25,6342
Nov_24,5170
Nov_23,3451
Nov_22,3736
Nov_21,5886
Nov_20,5113
Nov_19,5186
Nov_18,5830
Nov_17,4677
Nov_16,3488
Nov_15,3845
Nov_14,4592
Nov_13,4523
Nov_12,4750
Nov_11,5420
Nov_10,3730
Nov_9,2992
Nov_8,3314
Nov_7,4144
Nov_6,3845
Nov_5,4035
Nov_4,5482
Nov_3,2714
Nov_2,2404
Nov_1,2573
Oct_31,2940
Oct_30,2746
Oct_29,2693
Oct_28,2802
Oct_27,1964
Oct_26,1730
Oct_25,1746
Oct_24,1887
Oct_23,1977
Oct_22,1868
Oct_21,1738
Oct_20,1400
Oct_19,1273
Oct_18,1179
Oct_17,1289
Oct_16,1444
Oct_15,1328
Oct_14,1380
Oct_13,834
Oct_12,903
Oct_11,965
Oct_10,794
Oct_9,1075
Oct_8,1026
Oct_7,966
Oct_6,930
Oct_5,547
Oct_4,665
Oct_3,767
Oct_2,778
Oct_1,856
Sep_30,883
Sep_29,661
Sep_28,607
Sep_27,623
Sep_26,648
Sep_25,709
Sep_24,699
Sep_23,735
Sep_22,642
Sep_21,517
Sep_20,470
Sep_19,635
Sep_18,600
Sep_17,600
Sep_16,864
Sep_15,505
Sep_14,465
Sep_13,334
Sep_12,379
Sep_11,64
Sep_10,320
Sep_9,525
Sep_8,440
Sep_7,322
Sep_6,413
Sep_5,332
Sep_4,568
Sep_3,446
Sep_2,465
Sep_1,403
Aug_31,334
Aug_30,323
Aug_29,338
Aug_28,341
Aug_27,439
Aug_26,448
Aug_25,284
Aug_24,289
Aug_23,322
Aug_22,360
Aug_21,349
Aug_20,352
Aug_19,462
Aug_18,269
Aug_17,260
Aug_16,476
Aug_15,326
Aug_14,400
Aug_13,371
Aug_12,287
Aug_11,378
Aug_10,320
Aug_9,307
Aug_8,354
Aug_7,300
Aug_6,417
Aug_5,409
Aug_4,267
Aug_3,299
Aug_2,252
Aug_1,366
Jul_31,369
Jul_30,408
Jul_29,343
Jul_28,274
Jul_27,205
Jul_26,300
Jul_25,379
Jul_24,352
Jul_23,400
Jul_22,374
Jul_21,277
Jul_20,127
Jul_19,252
Jul_18,527
Jul_17,405
Jul_16,465
Jul_15,402
Jul_14,293
Jul_13,266
Jul_12,368
Jul_11,422
Jul_10,409
Jul_9,484
Jul_8,506
Jul_7,334
Jul_6,301
Jul_5,357
Jul_4,435
Jul_3,449
Jul_2,521
Jul_1,451
Jun_30,337
Jun_29,289
Jun_28,365
Jun_27,505
Jun_26,429
Jun_25,429
Jun_24,537
Jun_23,360
Jun_22,282
Jun_21,309
Jun_20,469
Jun_19,1845
Jun_18,652
Jun_17,666
Jun_16,362
Jun_15,318
Jun_14,463
Jun_13,570
Jun_12,483
Jun_11,747
Jun_10,719
Jun_9,470
Jun_8,376
Jun_7,603
Jun_6,800
Jun_5,607
Jun_4,831
Jun_3,818
Jun_2,529
Jun_1,435
May_31,725
May_30,927
May_29,958
May_28,1102
May_27,842
May_26,863
May_24,873
May_23,953
May_22,1593
May_21,1150
May_20,1350
May_19,855
May_18,664
May_17,1154
May_16,1376
May_15,1656
May_14,1579
May_13,1922
May_12,1298
May_11,965
May_10,1194
May_9,1994
May_8,1808
May_7,2178
May_6,2254
May_5,1597
May_4,1250
May_3,1930
May_2,2164
May_1,2401
Apr_30,2734
Apr_29,3053
Apr_28,2458
Apr_27,1553
Apr_26,2944
Apr_25,3228
Apr_24,3088
Apr_23,3424
Apr_22,4021
Apr_21,2898
Apr_20,2489
Apr_19,3705
Apr_18,3896
Apr_17,4186
Apr_16,4901
Apr_15,4442
Apr_14,3244
Apr_13,3189
Apr_12,3534
Apr_11,4315
Apr_10,4904
Apr_9,4069
Apr_8,5160
Apr_7,3553
Apr_6,3070
Apr_5,4263
Apr_4,5331
Apr_3,3701
Apr_2,3570
Apr_1,3417
Mar_31,3021
Mar_30,2603
Mar_29,2781
Mar_28,2798
Mar_27,2278
Mar_26,2149
Mar_25,1892
Mar_24,1531
Mar_23,1339
Mar_22,1437
Mar_21,1071
Mar_20,872
Mar_19,739
Mar_18,619
Mar_17,439
Mar_16,599
Mar_15,243
Mar_14,316
Mar_13,249
Mar_12,235
Mar_11,184
Mar_10,136
Mar_9,145
Mar_8,38
Mar_7,55
Mar_6,47
Mar_5,28
Mar_4,29
Mar_3,18
Mar_2,7
Mar_1,8
Feb_29,4
Feb_28,5
Feb_27,2
Feb_26,5
Feb_25,4
Feb_24,0
Feb_23,2
Feb_22,0
Feb_21,0
Feb_20,0
Feb_19,0
Feb_18,0
Feb_17,0
Feb_16,0
Feb_15,1
