CEO,Market_cap_in_billion_U.S._dollars
Larry_Page_(Google),199.05
Andrew_Mason_(Groupon),12.41
Kevin_Plank_(Under_Armour),4.27
Andrew_Silvernail_(IDEX_Corporation),3.54
Elon_Musk_(Tesla_Motors),3.28
Mitchell_Krebs_(Coeur_d'Alene_Mines_Corporation),2.42
Robert_Pera_(Ubiquiti_Networks),2.27
Aaron_Jagdfeld_(Generac_Holdings_Inc.),2.0
Edward_Rosenfeld_(Steven_Madden_Ltd.),1.72
J._Mariner_Kemper_(UMB_Financial_Corporation),1.64
Barry_Zyskind_(AmTrust_Financial_Services),1.59
Jose_Ramon_Mas_(MasTec),1.52
Michael_Reger_(Northern_Oil_&_Gas),1.49
Justin_Hutchens_(National_Health_Investors_Inc.),1.38
Gregory_Frost_(Halozyme_Therapeutics_Inc.),1.17
Marcus_Ryu_(Guidewire_Software_Inc.),1.13
John_De_Meritt_(Francesca's_Holdings_Corp.),1.02
Spencer_Rascoff_(Zillow),0.92
Leonard_Tannenbaum_(Fifth_Street_Finance_Corp.),0.85
Sardar_Biglari_(Biglari_Holdings_Inc.),0.59
