Cause_of_death,Number_of_deaths
Infections_and_parasetic_diseases,2096
Neoplasms,28560
Hematologic_conditions,379
Encodrine_diseases_and_metabolism_disorders,2548
Psychological_and_behavioral_disorders,5293
Nervous_system_disorders,5511
Eye_diseases,7
Ear_diseases,4
Cardiovascular_diseases,29934
Respiratory_system_disorders,11203
Digestive_system_disorders,4825
Skin_diseases,321
Musculoskeletal_disorders,601
Urogential_disorders,2911
Complications_during_pregnancy_delivery_and_postnatal_period,4
Complications_with_origin_in_perinatal_period,205
Cogenital_disorders,247
Others,6715
External_factors,6692
