Month,Price_in_GBP_per_kilogram
Nov_'19,0.49
Oct_'19,0.51
Sep_'19,0.5
Aug_'19,0.5
Jul_'19,0.53
Jun_'19,0.49
May_'19,0.51
Apr_'19,0.51
Mar_'19,0.47
Feb_'19,0.49
Jan_'19,0.46
Dec_'18,0.48
Nov_'18,0.47
Oct_'18,0.45
Sep_'18,0.47
Aug_'18,0.52
Jul_'18,0.52
Jun_'18,0.47
May_'18,0.48
Apr_'18,0.48
Mar_'18,0.46
Feb_'18,0.45
Jan_'18,0.47
Dec_'17,0.48
Nov_'17,0.49
Oct_'17,0.43
Sep_'17,0.41
Aug_'17,0.41
Jul_'17,0.42
Jun_'17,0.38
May_'17,0.36
Apr_'17,0.38
Mar_'17,0.37
Feb_'17,0.37
Jan_'17,0.36
Dec_'16,0.35
Nov_'16,0.36
Oct_'16,0.37
Sep_'16,0.35
Aug_'16,0.38
Jul_'16,0.37
Jun_'16,0.36
May_'16,0.36
Apr_'16,0.35
Mar_'16,0.35
Feb_'16,0.35
Jan_'16,0.36
Dec_'15,0.36
Nov_'15,0.35
Oct_'15,0.36
Sep_'15,0.38
Aug_'15,0.38
Jul_'15,0.38
Jun_'15,0.35
May_'15,0.36
Apr_'15,0.34
Mar_'15,0.33
Feb_'15,0.34
Jan_'15,0.34
