Response,Share_of_respondents
Sexual_violence,39
Physical_violence,34
Sexual_harassment,28
Domestic_abuse,19
Equal_pay,17
Sexualization_of_women_and_girls_in_the_media,13
Access_to_employment,10
Lack_of_financial/economic_independence,8
Lack_of_women_in_leadership_roles_in_business_and_public_life,8
The_amount_of_unpaid_work_that_women_do_(e.g._cooking_cleaning_childcare),7
Gender_stereotyping,7
Abuse_on_Social_Media,7
Workplace_discrimination,6
Balancing_work_and_caring_responsibilities,5
Support_for_pregnant_women_and_new_mothers,2
