Real_estate_types,Score_(1_to_5=_excellent)
Retirement/_assisted_living,4.37
Logistic_facilities,4.35
Co-living,4.31
Student_housing,4.25
Healthcare,4.21
Self-storage_facilities,4.19
Private_rented_residential,4.17
Data_centres,4.14
Affordable_housing,4.13
Flexible/_serviced_offices,4.12
Serviced_apartments,4.11
Hotels,4.03
Industrial/_warehouse,4.03
Science_parks,4.0
Housebuidling_for_sale,3.92
Central_city_offices,3.92
Social_housing,3.84
Parking,3.56
Business_parks,3.39
Suburban_offices,3.34
High_street_shops,3.02
Retail_parks,2.9
City_centre_shopping_centres,2.87
Out-of-town_shopping_centres,2.47
