Quarter,Net_income_in_million_U.S._dollars
Q3_2020,33.58
Q2_2020,23.66
Q1_2020,32.85
Q4_2019,68.21
Q3_2019,16.43
Q2_2019,25.17
Q1_2019,30.16
Q4_2018,56.98
Q3_2018,24.98
Q2_2018,23.6
Q1_2018,21.91
Q4_2017,-57.84
Q3_2017,32.33
Q2_2017,15.6
Q1_2017,13.12
Q4_2016,37.63
Q3_2016,0.41
Q2_2016,-0.49
Q1_2016,-8.27
Q4_2015,51.68
Q3_2015,9.42
Q2_2015,16.22
Q1_2015,-14.26
Q4_2014,33.83
Q3_2014,-12.5
Q2_2014,9.19
Q1_2014,1.74
Q4_2013,65.68
Q3_2013,-24.23
Q2_2013,20.13
Q1_2013,3.57
Q4_2012,178.39
Q3_2012,-2.75
Q2_2012,-88.15
Q1_2012,42.13
Q4_2011,58.95
Q3_2011,15.69
Q2_2011,-119.72
Q1_2011,5.42
Q4_2010,67.14
Q3_2010,-4.26
Q2_2010,32.03
Q1_2010,12.79
