largest_metropolitan_areas_in_the_U.S.,White_alone,Black_or_African_American_alone,"American_Indian,_Alaska_Native_alone",Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Two_or_more_races
New_York-Northern_New_Jersey-Long_Island_NY-NJ-PA,13139259,3676314,95997,1829097,23606,305523
Los_Angeles-Long_Beach-Santa_Ana_CA,9652130,979444,123265,1820552,45139,254267
Chicago-Naperville-Joliet_IL-IN-WI,7176654,1715530,37639,519852,8480,122412
Dallas-Fort_Worth-Arlington_TX,5031690,937999,50072,317311,9871,100672
Houston-Sugar_Land-Baytown_TX,4379450,1009716,37949,352808,7691,79875
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,4336844,1256380,17216,271746,4038,82028
Miami-Fort_Lauderdale-Pompano_Beach_FL,4149312,1162729,27023,130269,7284,70434
Boston-Cambridge-Quincy_MA-NH,3859639,362075,12936,282035,3552,68443
Washington-Arlington-Alexandria_DC-VA-MD-WV,3394264,1456689,23331,482463,6542,112952
Atlanta-Sandy_Springs-Marietta_GA,3390705,1741850,22464,235823,4836,79535
